id,title,manifest,canvas,license
MS-CHI-BONES-CUL-00214,剑桥大学金璋甲骨收藏 (CUL214),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00214,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00215,剑桥大学金璋甲骨收藏 (CUL215),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00215,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00216,剑桥大学金璋甲骨收藏 (CUL216),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00216,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00217,剑桥大学金璋甲骨收藏 (CUL217),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00217,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00218,剑桥大学金璋甲骨收藏 (CUL218),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00218,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00235,剑桥大学金璋甲骨收藏 (CUL235),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00235,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00245,剑桥大学金璋甲骨收藏 (CUL245),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00245,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00270,剑桥大学金璋甲骨收藏 (CUL270),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00270,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00271,剑桥大学金璋甲骨收藏 (CUL271),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00271,6,CC BY-NC 4.0 (PD work)
MS-CHI-BONES-CUL-00272,剑桥大学金璋甲骨收藏 (CUL272),https://cudl.lib.cam.ac.uk/iiif/MS-CHI-BONES-CUL-00272,6,CC BY-NC 4.0 (PD work)
