title,manifest,来源清单
"重訂五經疑問 Reel 1 (卷之一至十二), Chong ding Wu jing yi wen (Cases 1-2, v. 1-10), 重訂書經疑問, and Chong ding Shu jing yi wen",https://figgy.princeton.edu/concern/scanned_resources/48b45391-e678-460c-af89-3a5abeca978d/manifest,清单_普林斯顿善本Treasures.csv
"重訂五經疑問 Reel 4 (卷之三十七至四十八), Chong ding Wu jing yi wen (Cases 7-8, v. 29-36), 春秋疑問 , and Chun qiu yi wen",https://figgy.princeton.edu/concern/scanned_resources/542b299c-f299-4cbf-be44-dab5fdcaf89a/manifest,清单_普林斯顿善本Treasures.csv
史記題評 Reel 4 (卷四十四至七十六) and Shi ji ti ping v. 31-40,https://figgy.princeton.edu/concern/scanned_resources/891aaacd-8dcd-40e4-bd2b-6915def2e386/manifest,清单_普林斯顿善本Treasures.csv
史記題評 Reel 3 (卷二十六至四十三) and Shi ji ti ping v. 21-30,https://figgy.princeton.edu/concern/scanned_resources/acba7208-90e1-4e9d-a6ff-6b638d62264e/manifest,清单_普林斯顿善本Treasures.csv
"春秋左傳屬事 Reel 2 (卷之十一至二十；註解辨誤) and Chun qiu Zuo zhuan shu shi (Cases 3-4, v. 11-20; zhu jie bian wu)",https://figgy.princeton.edu/concern/scanned_resources/4d5018ca-c21e-43ac-982f-51805eeb7db0/manifest,清单_普林斯顿善本Treasures.csv
"重訂五經疑問 Reel 2 (卷之十三至二十四), Chong ding Wu jing yi wen (Cases 3-4, v. 11-20), 重訂詩經疑問, and Chong ding Shi jing yi wen",https://figgy.princeton.edu/concern/scanned_resources/64316a04-7de9-43cc-81b1-93076e6aa4d8/manifest,清单_普林斯顿善本Treasures.csv
"歷代通鑑纂要 Reel 06 (卷之五十至五十五) and Li dai Tong jian zuan yao (Case 5, v. 31-36)",https://figgy.princeton.edu/concern/scanned_resources/2e6eb4a4-dd88-48e1-b8d1-1b77460155a3/manifest,清单_普林斯顿善本Treasures.csv
"歷代通鑑纂要 Reel 09 (卷之七十五至八十三) and Li dai Tong jian zuan yao (Case 7, v. 49-52; Case 8, v. 53-54)",https://figgy.princeton.edu/concern/scanned_resources/3b0af4da-c908-486e-a7b4-850113a370c8/manifest,清单_普林斯顿善本Treasures.csv
四書考 Reel 2 (卷之十四至二十八) and Si shu kao v. 7-12,https://figgy.princeton.edu/concern/scanned_resources/af7767ed-0852-44fb-8d4a-af2ece451be0/manifest,清单_普林斯顿善本Treasures.csv
"歷代通鑑纂要 Reel 05 (卷之四十三至四十九) and Li dai Tong jian zuan yao (Case 4, v. 25-30)",https://figgy.princeton.edu/concern/scanned_resources/decc42b4-c06d-448b-a750-f11742b3b6dd/manifest,清单_普林斯顿善本Treasures.csv
"春秋集傳大全 Reel 1 (卷之一至十八) and Chun qiu ji zhuan da quan (Case 1, v. 1-10)",https://figgy.princeton.edu/concern/scanned_resources/88cbdad4-5043-47f4-b9dd-bb3e71246df1/manifest,清单_普林斯顿善本Treasures.csv
"歷代通鑑纂要 Reel 08 (卷之六十七至七十四) and Li dai Tong jian zuan yao (Case 6, v. 43-45; Case 7, v. 46-48)",https://figgy.princeton.edu/concern/scanned_resources/6a3ed92f-4a05-402b-aa99-c72a3039be76/manifest,清单_普林斯顿善本Treasures.csv
"四書大全辯 Reel 1 (Cases 1-2), Si shu da quan bian v. 1-12, and Front Matter; 大學 = Da xue; 中庸 = Zhong yong",https://figgy.princeton.edu/concern/scanned_resources/dd20ea22-0182-4e76-a805-eed8777027b8/manifest,清单_普林斯顿善本Treasures.csv
