id,title,manifest,db,tw_title
arc_books-NIJL_100174648,徳治三年灌頂切紙,https://www.dh-jac.net/db1/books/NIJL-100174648/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433794,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433794/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433795,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433795/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433796,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433796/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433791,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433791/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433792,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433792/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433779,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433779/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100121048,古今切紙口伝条々,https://www.dh-jac.net/db1/books/NIJL-100121048/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100148811,古今序中秘伝切紙,https://www.dh-jac.net/db1/books/NIJL-100148811/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100121050,古今和歌集伝授切紙,https://www.dh-jac.net/db1/books/NIJL-100121050/portal/manifest.json,arc_books,切紙
kyudai-R100000092_I2324_7402179,和歌切帋秘傳書,https://catalog.lib.kyushu-u.ac.jp/image/manifest/1/820/7402179.json,kyudai,切紙
arc_books-NIJL_100132462,二条家古今伝授切紙,https://www.dh-jac.net/db1/books/NIJL-100132462/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433786,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433786/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433790,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433790/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433777,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433777/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433784,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433784/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100433781,御使者切紙出帳,https://www.dh-jac.net/db1/books/NIJL-100433781/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100444767,教相切紙拾遺徹,https://www.dh-jac.net/db1/books/NIJL-100444767/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100326304,名物香炉式口伝切紙,https://www.dh-jac.net/db1/books/NIJL-100326304/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100121046,古今和歌集伝授切紙,https://www.dh-jac.net/db1/books/NIJL-100121046/portal/manifest.json,arc_books,切紙
arc_books-NIJL_100376142,東家奥秘切紙之写,https://www.dh-jac.net/db1/books/NIJL-100376142/portal/manifest.json,arc_books,切紙
arc_books-mu07_04912,大工番匠極意之切紙,https://www.dh-jac.net/db1/books/mu07_04912/portal/manifest.json,arc_books,切紙
